timestamp;total_packets;total_loopback;total_multicast;total_udp;total_tcp;total_options;total_fragment;total_fin;total_syn;total_intensity;input_packets;input_udp;input_tcp;input_options;input_fragment;input_fin;input_syn;input_intensity;output_packets;output_udp;output_tcp;output_options;output_fragment;output_fin;output_syn;output_intensity;;;;;
2026-04-16T04:16:19.274407;8;0;0;4;4;0;0;0;2;3.9483387808504857;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;192.168.45.128;35607;192.168.45.2;53;UDP
2026-04-16T04:16:21.296409;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-16T04:16:23.313392;14;0;0;6;6;0;0;0;3;6.947378334449026;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;192.168.45.128;35607;192.168.45.2;53;UDP
2026-04-16T04:16:25.329397;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-16T04:16:27.348373;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-16T04:16:29.365452;28;0;0;10;12;0;0;0;6;13.8927037007025;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;192.168.45.2;0;192.168.45.129;0;Other
2026-04-16T04:16:31.381363;12;0;0;0;12;0;0;0;0;5.957678548727196;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;192.168.10.50;56108;192.168.10.3;3268;TCP
2026-04-16T04:16:33.396473;8;0;0;4;4;0;0;0;2;3.9735287806537087;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;192.168.45.128;33944;192.168.45.2;53;UDP
2026-04-16T04:16:35.411341;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-16T04:16:37.426401;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-16T04:16:39.442401;17;0;0;7;6;0;0;0;3;8.439299396468956;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;192.168.45.2;0;192.168.45.129;0;Other
2026-04-16T04:16:41.458385;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-16T04:16:43.475394;20;0;0;6;12;0;0;0;6;9.92351591610434;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;192.168.45.128;46923;192.168.45.2;53;UDP
2026-04-16T04:16:45.491388;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-16T04:16:47.504524;12;0;0;0;12;0;0;0;0;5.9654289053908975;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;192.168.10.50;56108;192.168.10.3;3268;TCP
