timestamp;total_packets;total_loopback;total_multicast;total_udp;total_tcp;total_options;total_fragment;total_fin;total_syn;total_intensity;input_packets;input_udp;input_tcp;input_options;input_fragment;input_fin;input_syn;input_intensity;output_packets;output_udp;output_tcp;output_options;output_fragment;output_fin;output_syn;output_intensity;;;;;
2026-04-17T07:00:41.546604;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:00:43.598611;8;0;0;0;8;0;0;8;0;3.904337174747965;8;0;8;0;0;8;0;3.904337174747965;0;0;0;0;0;0;0;0.0;8.254.250.126;80;192.168.10.5;49188;TCP
2026-04-17T07:00:45.652553;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:00:47.668561;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:00:49.684519;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:00:51.702613;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:00:53.719545;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:00:55.738567;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:00:57.753662;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:00:59.770517;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:01:01.789556;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:01:03.805551;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:01:05.821622;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:01:07.837568;9;0;0;0;9;0;0;9;0;4.467905104909333;9;0;9;0;0;9;0;4.467905104909333;0;0;0;0;0;0;0;0.0;8.253.185.121;80;192.168.10.14;49486;TCP
2026-04-17T07:01:09.855634;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:01:11.873548;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
2026-04-17T07:01:13.891560;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0.0.0.0;0;0.0.0.0;0;None
